"email","adresse","genre","âge","coach ?","newsletter ?"
"nicolasvandenbussche0@gmail.com","30 avenue Ollivary, 13008 Marseille","","","non","oui"
"camillevandenbussche10@gmail.com","","","","non","non"
"robertlasvandenbussche10@gmail.com","","","","non","non"
"leavandenbussche10@gmail.com","","","","non","non"
"coach@gmail.com","34 avenue Ollivary, 13008 Marseille","","34","oui","non"
"aurélievandenbussche10@gmail.com","","","","non","non"
"virginievandenbussche10@gmail.com","","","","non","non"
"sébastienvandenbussche10@gmail.com","","","","non","non"
"bertrandvandenbussche10@gmail.com","","","","non","non"
"régisvandenbussche10@gmail.com","","","","non","non"
"thérèsevandenbussche10@gmail.com","","","","non","non"
"juliettevandenbussche10@gmail.com","","","","non","non"
"example@gmail.com","30 avenue Ollivary, 13008 Marseille","femme","0","non","non"
"test@gmail.com","30 avenue Ollivary, 13008 Marseille","autres","0","non","non"
"ex@gmail.com","34 avenue Ollivary, 13008 Marseille","homme","0","oui","non"
"exmple@gmail.com","34 avenue Ollivary, 13008 Marseille","homme","0","non","non"
"test1@gmail.com","30 avenue Ollivary, 13008 Marseille","femme","0","non","non"
"eeexample@gmail.com","","homme","","non","oui"
"test45@gmail.com","","","","non","non"
"test1@yahoo.com","","","","non","non"
"test2@yahoo.com","","","","non","non"
"test3@yahoo.com","","","","non","non"
"gggggg@ufheygfr.com","30 avenue Ollivary, 13008 Marseille","","","non","non"
"coach1234@gmail.com","","homme","","oui","non"
"test3333@gmail.com","","homme","","oui","non"
"test222é2@gmail.com","","homme","","oui","non"
"fffffoo@gmail.com","","homme","","oui","non"
"ffghyujyuj@gmail.com","","femme","","oui","non"
"pppopopo@gmail.com","","homme","","non","oui"
"test55555@gmail.com","","homme","","oui","non"
"test44@gmail.com","","homme","","non","non"
"test99@gmail.com","","homme","","non","non"
"test88@gmail.com","","homme","","non","non"
"test77@gmail.com","","homme","","non","non"
"11test11@gmail.com","","homme","","non","non"
"test66@gmail.com","","","","non","non"
"test66666@gmail.com","","homme","","non","non"
"coach2@gmail.com","","homme","","oui","non"
"xcvbn@gmail.com","","homme","","non","oui"
"qsdfg@gmail.com","","homme","","non","oui"
"rtyyu@gmail.com","","homme","","non","oui"
"jffjgrtjg@gmail.com","","femme","","non","oui"
"ffgerfhfire@gmail.com","","femme","","oui","non"
"fgizhferkf@gmail.com","","femme","","non","non"
"rfdeooe@gmail.com","","homme","20","oui","non"
